goals
23-07-2023 FK SOCHI 2 - 0 Baltika
31-07-2023 Spartak M 2 - 1 Baltika
06-08-2023 Baltika 2 - 1 Fakel Voronezh
13-08-2023 Dinamo Moscow 2 - 0 Baltika
19-08-2023 Baltika 0 - 1 Ural
27-08-2023 Krylya Samara 2 - 1 Baltika
03-09-2023 Lokomotiv M 3 - 2 Baltika
16-09-2023 Baltika 2 - 2 Rostov
23-09-2023 Baltika 1 - 0 Terek Grozny
30-09-2023 CSKA Moscow ? - ? Baltika
22-07-2023 Ural 2 - 1 CSKA Moscow
26-08-2023 Rubin Kazan 2 - 2 Dinamo Moscow
02-09-2023 Nizhny Novgorod 2 - 1 Rubin Kazan
17-09-2023 Rubin Kazan 0 - 3 Zenit St Petersburg
25-09-2023 Fakel Voronezh 0 - 1 Rubin Kazan
30-09-2023 Rubin Kazan ? - ? Krasnodar
23-07-2023 Spartak M 3 - 2 Gazovik Orenburg
31-07-2023 Spartak M 2 - 1 Baltika
05-08-2023 Rubin Kazan 1 - 4 Spartak M
11-08-2023 Ural 3 - 2 Spartak M
20-08-2023 Spartak M 1 - 3 Zenit St Petersburg
26-08-2023 Spartak M 0 - 0 Terek Grozny
02-09-2023 Krasnodar 2 - 0 Spartak M
16-09-2023 Spartak M 1 - 0 FK SOCHI
23-09-2023 Spartak M 1 - 0 Dinamo Moscow
01-10-2023 Krylya Samara ? - ? Spartak M
22-07-2023 Terek Grozny 1 - 2 Krylya Samara
30-07-2023 Terek Grozny 2 - 3 CSKA Moscow
06-08-2023 FK SOCHI 1 - 2 Terek Grozny
14-08-2023 Nizhny Novgorod 2 - 0 Terek Grozny
20-08-2023 Terek Grozny 4 - 0 Gazovik Orenburg
26-08-2023 Spartak M 0 - 0 Terek Grozny
02-09-2023 Ural 0 - 1 Terek Grozny
16-09-2023 Terek Grozny 1 - 1 Krasnodar
23-09-2023 Baltika 1 - 0 Terek Grozny
01-10-2023 Terek Grozny ? - ? Dinamo Moscow
22-07-2023 Ural 2 - 1 CSKA Moscow
29-07-2023 Ural 0 - 0 Nizhny Novgorod
05-08-2023 Gazovik Orenburg 0 - 2 Ural
11-08-2023 Ural 3 - 2 Spartak M
19-08-2023 Baltika 0 - 1 Ural
26-08-2023 Zenit St Petersburg 4 - 0 Ural
02-09-2023 Ural 0 - 1 Terek Grozny
17-09-2023 Ural 0 - 0 Fakel Voronezh
24-09-2023 Krasnodar 2 - 0 Ural
29-09-2023 Rostov ? - ? Ural
22-07-2023 Nizhny Novgorod 0 - 2 Zenit St Petersburg
29-07-2023 Rostov 1 - 1 Zenit St Petersburg
06-08-2023 Zenit St Petersburg 2 - 3 Dinamo Moscow
13-08-2023 Zenit St Petersburg 2 - 0 Fakel Voronezh
20-08-2023 Spartak M 1 - 3 Zenit St Petersburg
26-08-2023 Zenit St Petersburg 4 - 0 Ural
03-09-2023 CSKA Moscow 1 - 1 Zenit St Petersburg
17-09-2023 Rubin Kazan 0 - 3 Zenit St Petersburg
24-09-2023 Zenit St Petersburg 1 - 2 Lokomotiv M
30-09-2023 Gazovik Orenburg ? - ? Zenit St Petersburg
